neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,type,rating,bedroom,bed,bath
Vesterbro-Kongens Enghave,55.66305,12.54577,Private room,2000,7,1,301,Rental unit in Copenhagen ·,,1.0,1.0,2.0
Vesterbro-Kongens Enghave,55.66746,12.55269,Entire home/apt,893,3,24,15,Rental unit in Copenhagen · ★,4.59,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66777,12.54844,Private room,579,1,508,164,Rental unit in Copenhagen · ★,4.66,1.0,1.0,
Nrrebro,55.70001,12.54819,Entire home/apt,1295,5,71,0,Rental unit in Copenhagen · ★,4.92,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67015,12.55007,Entire home/apt,1000,3,108,347,Rental unit in Copenhagen · ★,4.71,1.0,1.0,1.0
Indre By,55.67581,12.57425,Entire home/apt,1199,1,39,0,Rental unit in Copenhagen · ★,4.57,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67154,12.54638,Private room,407,1,217,136,Rental unit in Copenhagen · ★,4.76,1.0,1.0,
sterbro,55.70585,12.57963,Entire home/apt,521,28,17,333,Rental unit in Copenhagen · ★,4.07,2.0,2.0,1.0
Nrrebro,55.68998,12.56223,Entire home/apt,2043,3,174,308,Loft in Copenhagen · ★,4.8,2.0,2.0,1.0
Amager Vest,55.65814,12.567,Entire home/apt,1703,7,27,1,Rental unit in Copenhagen · ★,4.96,2.0,2.0,1.0
Nrrebro,55.69403,12.56543,Entire home/apt,1022,3,61,4,Rental unit in Copenhagen · ★,4.92,1.0,1.0,1.0
Nrrebro,55.69852,12.54774,Private room,708,2,5,149,Condo in Copenhagen · ★,4.8,1.0,1.0,
sterbro,55.69782,12.58056,Entire home/apt,1130,5,31,2,Condo in Copenhagen · ★,4.83,3.0,3.0,5.0
Nrrebro,55.68758,12.56053,Entire home/apt,783,4,23,317,Rental unit in Copenhagen · ★,4.82,1.0,1.0,1.0
Nrrebro,55.68926,12.54708,Entire home/apt,1071,3,22,39,Condo in Copenhagen · ★,4.86,3.0,3.0,5.0
Indre By,55.68298,12.5739,Entire home/apt,931,4,24,0,Rental unit in Copenhagen · ★,4.85,1.0,1.0,1.0
Valby,55.66503,12.50346,Entire home/apt,1117,5,33,4,Home in Valby · ★,4.78,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.67029,12.54127,Entire home/apt,1200,7,5,133,Rental unit in Copenhagen · ★,5.0,3.0,3.0,1.0
Nrrebro,55.68868,12.56086,Entire home/apt,1936,2,9,79,Rental unit in Copenhagen · ★,5.0,3.0,3.0,1.0
Amager Vest,55.66729,12.59737,Entire home/apt,949,3,166,226,Rental unit in Copenhagen · ★,4.78,1.0,1.0,1.0
Frederiksberg,55.67337,12.54143,Entire home/apt,856,5,14,197,Rental unit in Frederiksberg · ★,4.46,2.0,2.0,1.0
Nrrebro,55.69103,12.54436,Entire home/apt,919,6,15,4,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66792,12.55554,Entire home/apt,674,3,17,0,Rental unit in Copenhagen · ★,4.88,1.0,1.0,1.0
Nrrebro,55.69723,12.54669,Entire home/apt,1000,3,6,111,Rental unit in Copenhagen · ★,4.5,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.64443,12.52773,Private room,287,1,390,4,Condo in Copenhagen · ★,4.72,2.0,2.0,
Valby,55.66613,12.49663,Entire home/apt,2690,6,32,179,Villa in Valby · ★,4.94,4.0,4.0,3.0
Frederiksberg,55.68765,12.52779,Entire home/apt,904,2,112,93,Rental unit in Copenhagen · ★,4.77,1.0,1.0,1.0
Indre By,55.69029,12.5706,Entire home/apt,1195,4,3,3,Rental unit in Copenhagen · ★,5.0,2.0,2.0,5.0
Nrrebro,55.68867,12.56095,Entire home/apt,1862,5,35,127,Rental unit in Copenhagen · ★,4.59,4.0,4.0,5.0
Nrrebro,55.69008,12.54378,Entire home/apt,885,4,22,20,Rental unit in Copenhagen · ★,4.85,2.0,2.0,0.0
Indre By,55.6852,12.59524,Entire home/apt,1300,4,16,174,Rental unit in Copenhagen · ★,4.89,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.67246,12.55363,Entire home/apt,1800,7,8,66,Rental unit in Copenhagen · ★,4.67,2.0,2.0,1.0
Indre By,55.67637,12.5869,Entire home/apt,1181,1,31,0,Rental unit in Copenhagen · ★,4.97,1.0,1.0,1.0
Amager Vest,55.66524887084961,12.577133178710938,Entire home/apt,1300,4,14,72,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager st,55.66135,12.60531,Shared room,2301,2,4,0,Rental unit in Copenhagen · ★,4.0,1.0,1.0,
Indre By,55.68187,12.56375,Private room,504,2,2,0,Rental unit in Copenhagen ·,,2.0,2.0,
Indre By,55.69291,12.57089,Entire home/apt,1300,6,63,89,Rental unit in København Ø · ★,4.9,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.6706,12.54211,Entire home/apt,1294,6,17,167,Rental unit in Frederiksberg · ★,4.38,1.0,1.0,1.0
Amager Vest,55.66505,12.58187,Entire home/apt,1200,3,37,0,Rental unit in Copenhagen · ★,4.94,2.0,2.0,5.0
Frederiksberg,55.6877318056243,12.53830357518734,Entire home/apt,986,3,6,68,Condo in Frederiksberg · ★,4.83,1.0,1.0,1.0
sterbro,55.70274,12.58152,Entire home/apt,1612,2,123,259,Rental unit in Copenhagen · ★,4.53,2.0,2.0,1.0
Nrrebro,55.69751,12.54826,Entire home/apt,559,3,59,0,Rental unit in Copenhagen · ★,4.64,1.0,1.0,1.0
Amager Vest,55.66624,12.59636,Entire home/apt,800,3,7,2,Condo in Copenhagen · ★,5.0,,1.0,1.0
Frederiksberg,55.69516,12.52948,Entire home/apt,599,2,23,243,Rental unit in Frederiksberg · ★,4.61,2.0,2.0,1.0
Amager st,55.66605,12.60833,Entire home/apt,584,2,18,0,Rental unit in Copenhagen · ★,4.78,1.0,1.0,1.0
sterbro,55.70253,12.5789,Entire home/apt,1300,5,38,3,Condo in Copenhagen · ★,4.95,3.0,3.0,1.0
Nrrebro,55.69243,12.54606,Entire home/apt,950,5,45,7,Rental unit in Copenhagen · ★,4.84,2.0,2.0,1.0
Indre By,55.66952,12.58035,Entire home/apt,1075,2,33,181,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Valby,55.66641,12.50395,Entire home/apt,950,5,62,312,Rental unit in Valby · ★,4.79,3.0,3.0,1.0
sterbro,55.70868,12.57317,Entire home/apt,1350,4,117,0,Condo in Copenhagen  · ★,4.91,4.0,4.0,1.0
Vesterbro-Kongens Enghave,55.66791,12.55117,Private room,443,3,284,296,Rental unit in Copenhagen · ★,4.84,1.0,1.0,
Nrrebro,55.69268,12.55486,Private room,380,3,63,0,Rental unit in Copenhagen · ★,4.86,1.0,1.0,
Nrrebro,55.69253,12.55971,Entire home/apt,829,4,20,31,Rental unit in Copenhagen · ★,4.74,1.0,1.0,1.0
Nrrebro,55.69026,12.55946,Entire home/apt,1702,5,11,8,Rental unit in Copenhagen · ★,5.0,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.66701,12.54965,Entire home/apt,679,4,32,0,Rental unit in Copenhagen · ★,4.93,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.67365,12.55581,Private room,493,1,762,35,Rental unit in Copenhagen · ★,4.67,1.0,1.0,
Indre By,55.67209,12.5894,Entire home/apt,1755,2,166,98,Loft in Copenhagen · ★,4.84,1.0,1.0,1.0
Indre By,55.67007,12.59399,Entire home/apt,1692,2,36,181,Rental unit in Copenhagen · ★,4.74,2.0,2.0,1.0
Indre By,55.69145,12.57405,Entire home/apt,1600,5,11,0,Home in Copenhagen · ★,5.0,4.0,4.0,1.0
Nrrebro,55.695,12.54616,Entire home/apt,750,1,0,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.6827,12.57309,Entire home/apt,3256,3,86,35,Rental unit in Copenhagen · ★,4.93,2.0,2.0,2.0
sterbro,55.70195,12.57677,Entire home/apt,1050,5,17,63,Condo in Copenhagen · ★,4.76,3.0,3.0,1.0
sterbro,55.70809,12.58299,Entire home/apt,670,3,25,3,Condo in Copenhagen · ★,4.39,1.0,1.0,1.0
Indre By,55.675,12.5905,Entire home/apt,400,60,11,0,Rental unit in Copenhagen · ★,4.73,1.0,1.0,1.0
Frederiksberg,55.67918,12.50768,Private room,545,3,119,7,Rental unit in Frederiksberg · ★,4.87,1.0,1.0,
Frederiksberg,55.67552,12.53727,Entire home/apt,2450,3,26,326,Rental unit in Frederiksberg C · ★,5.0,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.66643,12.55064,Entire home/apt,1350,3,48,180,Rental unit in Copenhagen · ★,4.83,2.0,2.0,1.0
Indre By,55.67204,12.58986,Entire home/apt,1500,4,14,0,Loft in Copenhagen · ★,4.5,1.0,1.0,1.0
Indre By,55.67133,12.5912,Entire home/apt,1200,2,0,0,Condo in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67255,12.55067,Entire home/apt,1250,2,28,282,Rental unit in Frederiksberg · ★,4.96,1.0,1.0,1.0
Amager Vest,55.65807,12.60758,Entire home/apt,900,1,47,55,Rental unit in Copenhagen · ★,4.72,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66337,12.54399,Private room,550,1,43,82,Rental unit in Kobenhavn V · ★,4.59,1.0,1.0,
Nrrebro,55.69747,12.55463,Entire home/apt,2000,2,32,24,Rental unit in Copenhagen · ★,4.81,3.0,3.0,1.0
Indre By,55.69639,12.58434,Entire home/apt,1093,3,110,14,Rental unit in Copenhagen · ★,4.76,1.0,1.0,1.0
Amager st,55.66017,12.61735,Private room,400,6,53,47,Rental unit in Copenhagen · ★,4.94,1.0,1.0,
Vesterbro-Kongens Enghave,55.66453,12.54927,Private room,795,1,1,82,Condo in Copenhagen ·,,1.0,1.0,1.0
sterbro,55.73247,12.56629,Entire home/apt,3000,6,56,35,Home in Hellerup · ★,4.76,7.0,7.0,5.0
Vesterbro-Kongens Enghave,55.66562,12.54615,Entire home/apt,900,5,8,14,Rental unit in Copenhagen · ★,4.86,1.0,1.0,1.0
Indre By,55.68382,12.56415,Entire home/apt,800,6,0,15,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67159,12.55736,Entire home/apt,1005,5,13,0,Rental unit in Copenhagen · ★,4.69,1.0,1.0,1.0
Indre By,55.6879,12.5892,Private room,900,2,124,176,Rental unit in Copenhagen · ★,4.83,2.0,2.0,
Indre By,55.69104,12.5764,Entire home/apt,1943,6,12,18,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager Vest,55.66709,12.58084,Entire home/apt,4585,2,7,326,Rental unit in Copenhagen · ★,4.6,2.0,2.0,2.0
sterbro,55.7095,12.5825,Entire home/apt,1286,5,105,19,Rental unit in Copenhagen · ★,4.84,3.0,3.0,1.0
Amager st,55.64982,12.61352,Entire home/apt,2000,5,5,358,Condo in Copenhagen · ★,4.8,1.0,1.0,1.0
sterbro,55.71073,12.58207,Entire home/apt,1500,5,6,275,Rental unit in Copenhagen · ★,5.0,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.66538,12.55429,Entire home/apt,1000,5,21,262,Rental unit in Copenhagen · ★,4.86,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66634,12.55771,Private room,481,3,103,205,Rental unit in Copenhagen · ★,4.79,1.0,1.0,
Indre By,55.67308,12.59132,Entire home/apt,861,5,92,0,Condo in Copenhagen · ★,4.86,1.0,1.0,1.0
Frederiksberg,55.68449,12.5395,Entire home/apt,1350,4,144,267,Condo in Frederiksberg · ★,4.87,2.0,2.0,1.0
Frederiksberg,55.68332,12.54934,Entire home/apt,1703,4,55,9,Townhouse in Frederiksberg · ★,4.89,2.0,2.0,1.0
Amager Vest,55.63514,12.58297,Entire home/apt,1614,1,30,71,Rental unit in Copenhagen · ★,4.97,2.0,2.0,1.0
Frederiksberg,55.68423,12.52943,Entire home/apt,1100,6,44,0,Rental unit in Frederiksberg · ★,4.8,3.0,3.0,1.0
sterbro,55.69326,12.5681,Entire home/apt,743,4,62,8,Rental unit in Copenhagen · ★,4.6,1.0,1.0,1.0
Nrrebro,55.68834,12.55067,Entire home/apt,900,4,32,2,Rental unit in Copenhagen · ★,4.97,2.0,2.0,5.0
Vesterbro-Kongens Enghave,55.66369,12.55009,Entire home/apt,1743,4,6,0,Rental unit in Copenhagen · ★,5.0,3.0,3.0,2.0
Vesterbro-Kongens Enghave,55.67273,12.55188,Private room,600,1,240,26,Condo in Copenhagen · ★,4.59,,2.0,
Nrrebro,55.69753,12.55029,Entire home/apt,410,6,42,0,Rental unit in Copenhagen · ★,4.64,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66863,12.54604,Entire home/apt,1000,4,28,0,Rental unit in Copenhagen · ★,4.96,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66349,12.54623,Entire home/apt,900,5,1,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Nrrebro,55.69286,12.56578,Entire home/apt,1300,4,27,3,Rental unit in Copenhagen · ★,4.85,3.0,3.0,1.0
Valby,55.66619,12.52085,Entire home/apt,1150,21,6,214,Home in Valby · ★,5.0,3.0,3.0,5.0
Nrrebro,55.69747,12.55197,Entire home/apt,1340,3,109,181,Rental unit in Copenhagen · ★,4.49,2.0,2.0,1.0
Indre By,55.69067,12.57576,Entire home/apt,2489,3,80,3,Condo in Copenhagen · ★,4.86,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66679,12.54815,Entire home/apt,1100,1,44,364,Condo in Copenhagen · ★,4.64,1.0,1.0,1.0
Amager Vest,55.64036,12.55266,Entire home/apt,968,3,144,290,Houseboat in København S · ★,4.59,3.0,3.0,1.0
Amager Vest,55.6628,12.57609,Entire home/apt,2609,5,19,43,Rental unit in Copenhagen · ★,4.94,4.0,4.0,2.0
Vanlse,55.69608,12.49629,Entire home/apt,900,4,14,219,Home in Copenhagen · ★,4.86,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.66327,12.54898,Entire home/apt,1043,6,14,177,Condo in Copenhagen · ★,4.58,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66793,12.54609,Entire home/apt,1489,4,49,7,Condo in Copenhagen · ★,4.9,3.0,3.0,1.0
Amager st,55.66178,12.6134,Entire home/apt,430,82,33,182,Rental unit in Copenhagen · ★,4.39,1.0,1.0,1.0
Nrrebro,55.69244,12.54121,Entire home/apt,1150,7,2,55,Rental unit in Copenhagen ·,1.5,1.0,1.0,5.0
Vesterbro-Kongens Enghave,55.67304,12.55202,Entire home/apt,980,1,28,298,Rental unit in Copenhagen · ★,4.82,1.0,1.0,1.0
Amager Vest,55.66827,12.58085,Private room,410,3,138,0,Condo in Copenhagen · ★,4.78,2.0,2.0,2.0
Bispebjerg,55.69934,12.53611,Entire home/apt,1192,7,11,14,Condo in Copenhagen · ★,4.45,4.0,4.0,5.0
Indre By,55.67632,12.59742,Entire home/apt,629,10,27,65,Rental unit in Copenhagen · ★,4.59,1.0,1.0,1.0
Brnshj-Husum,55.70394,12.48354,Entire home/apt,1069,3,15,5,Home in Copenhagen · ★,4.36,5.0,5.0,5.0
Indre By,55.68551,12.56956,Entire home/apt,1400,5,60,122,Rental unit in Copenhagen · ★,4.97,2.0,2.0,1.0
Indre By,55.69001,12.57315,Entire home/apt,1303,5,8,0,Condo in Copenhagen · ★,4.63,1.0,1.0,1.0
Nrrebro,55.68930435180664,12.55517292022705,Entire home/apt,1200,3,27,0,Condo in Copenhagen · ★,4.88,2.0,2.0,1.0
Indre By,55.68292,12.56325,Entire home/apt,1000,5,16,0,Rental unit in Copenhagen · ★,4.85,2.0,2.0,1.0
Frederiksberg,55.68741,12.53626,Private room,521,2,92,19,Rental unit in Frederiksberg · ★,4.84,1.0,1.0,
Indre By,55.67112,12.59165,Entire home/apt,1600,3,48,6,Rental unit in Copenhagen · ★,4.66,3.0,3.0,5.0
Amager st,55.65286,12.62752,Entire home/apt,1100,6,17,22,Home in Copenhagen · ★,4.5,3.0,3.0,1.0
Indre By,55.68789,12.59094,Entire home/apt,2500,3,13,179,Rental unit in Copenhagen · ★,4.91,2.0,2.0,1.0
Indre By,55.68366,12.56922,Entire home/apt,968,3,13,0,Rental unit in Copenhagen · ★,4.92,2.0,2.0,1.0
Frederiksberg,55.68448,12.51957,Entire home/apt,750,3,35,13,Condo in Frederiksberg · ★,4.72,1.0,1.0,1.0
