neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,type,rating,bedroom,bed,bath
Amager Vest,55.63861,12.60009,Entire home/apt,871,5,3,29,Home in Copenhagen · ★,4.67,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66736,12.54474,Entire home/apt,650,1,6,0,Rental unit in Copenhagen · ★,4.8,1.0,1.0,1.0
Indre By,55.6861,12.58413,Entire home/apt,1500,5,12,0,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Indre By,55.68493,12.58812,Entire home/apt,2357,1,113,138,Condo in Copenhagen · ★,4.67,1.0,1.0,1.0
Indre By,55.69446,12.57812,Entire home/apt,1014,7,7,13,Rental unit in Copenhagen · ★,4.86,2.0,2.0,5.0
Amager st,55.6596,12.62582,Entire home/apt,890,3,27,0,Condo in Copenhagen · ★,4.96,1.0,1.0,1.0
Nrrebro,55.69302,12.54498,Entire home/apt,2500,6,0,17,Townhouse in Copenhagen ·,,2.0,2.0,2.0
Indre By,55.68033,12.57288,Entire home/apt,2376,1,13,210,Rental unit in Copenhagen · ★,4.31,4.0,4.0,1.0
Nrrebro,55.68867,12.55619,Entire home/apt,1675,2,14,5,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Nrrebro,55.69889,12.54068,Entire home/apt,657,1,125,60,Rental unit in Copenhagen · ★,4.76,1.0,1.0,5.0
Frederiksberg,55.67977,12.50676,Entire home/apt,1036,3,3,21,Home in Frederiksberg · ★,4.67,3.0,3.0,1.0
Indre By,55.67508,12.57232,Entire home/apt,1206,4,112,0,Rental unit in Copenhagen · ★,4.6,2.0,2.0,1.0
Indre By,55.68286,12.57893,Entire home/apt,1196,7,112,0,Rental unit in Copenhagen · ★,4.84,1.0,1.0,1.0
sterbro,55.6991,12.58803,Entire home/apt,1550,4,20,143,Rental unit in Copenhagen · ★,4.4,4.0,4.0,1.0
Vesterbro-Kongens Enghave,55.67083,12.54103,Entire home/apt,1133,2,26,100,Rental unit in Copenhagen · ★,4.92,1.0,1.0,1.0
Frederiksberg,55.69319,12.52971,Entire home/apt,790,2,14,0,Rental unit in Frederiksberg · ★,5.0,1.0,1.0,1.0
Nrrebro,55.68721,12.5423,Entire home/apt,489,2,59,61,Rental unit in Copenhagen · ★,4.97,2.0,2.0,1.0
Indre By,55.68237,12.58243,Entire home/apt,2175,1,106,0,Rental unit in Copenhagen · ★,4.87,4.0,4.0,5.0
Bispebjerg,55.70741,12.53789,Entire home/apt,895,3,3,360,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Indre By,55.68628,12.5856,Entire home/apt,1445,1,1,154,Rental unit in Copenhagen ·,,3.0,3.0,1.0
Nrrebro,55.6932,12.54307,Entire home/apt,820,3,9,0,Rental unit in Copenhagen · ★,4.63,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66025,12.56362,Entire home/apt,1040,1,4,0,Rental unit in Copenhagen · ★,4.25,2.0,2.0,1.0
sterbro,55.69733,12.58157,Entire home/apt,1200,2,25,5,Rental unit in Copenhagen · ★,4.88,2.0,2.0,1.0
Nrrebro,55.6951,12.54663,Entire home/apt,1500,3,7,0,Condo in Copenhagen · ★,5.0,2.0,2.0,5.0
Valby,55.66837,12.50954,Entire home/apt,575,6,28,0,Rental unit in Copenhagen · ★,4.93,1.0,1.0,1.0
Nrrebro,55.6875,12.559,Entire home/apt,1700,7,11,63,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.64609,12.54652,Private room,850,13,18,180,Condo in København SV · ★,4.39,1.0,1.0,
Amager st,55.66154,12.60797,Entire home/apt,973,3,54,16,Rental unit in Copenhagen · ★,4.91,1.0,1.0,1.0
Nrrebro,55.68687,12.544,Entire home/apt,900,2,18,0,Rental unit in Copenhagen · ★,4.94,2.0,2.0,1.0
Frederiksberg,55.67281,12.50495,Entire home/apt,899,2,28,0,Rental unit in Frederiksberg · ★,4.57,1.0,1.0,1.0
Nrrebro,55.6906866,12.5428848,Entire home/apt,1000,4,8,274,Condo in Copenhagen · ★,4.88,1.0,1.0,1.0
Frederiksberg,55.68144,12.53809,Entire home/apt,1000,4,3,0,Rental unit in Frederiksberg · ★,5.0,1.0,1.0,1.0
Bispebjerg,55.70926,12.52055,Entire home/apt,800,2,10,0,Rental unit in Copenhagen · ★,4.67,2.0,2.0,1.0
Indre By,55.69073,12.57752,Entire home/apt,1200,6,13,3,Rental unit in Copenhagen · ★,4.92,1.0,1.0,1.0
Indre By,55.681217,12.562639,Entire home/apt,836,3,27,2,Rental unit in Copenhagen · ★,4.89,1.0,1.0,1.0
Nrrebro,55.70106,12.54939,Entire home/apt,1010,3,21,225,Condo in Copenhagen · ★,4.95,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.64892,12.52586,Private room,600,1,117,1,Rental unit in Copenhagen · ★,4.98,1.0,1.0,
Vesterbro-Kongens Enghave,55.67269,12.54894,Entire home/apt,899,4,13,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.70786,12.56686,Entire home/apt,642,5,12,0,Rental unit in Copenhagen · ★,4.58,2.0,2.0,1.0
Frederiksberg,55.67721,12.54613,Entire home/apt,900,7,11,6,Rental unit in Frederiksberg · ★,4.82,2.0,2.0,1.0
Bispebjerg,55.70238,12.53184,Entire home/apt,520,1,23,0,Rental unit in Copenhagen · ★,4.78,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66694,12.54992,Entire home/apt,700,1,24,6,Condo in Copenhagen · ★,4.6,1.0,1.0,1.0
Brnshj-Husum,55.71082,12.49321,Entire home/apt,2000,5,2,16,Home in Copenhagen ·,1.5,4.0,4.0,5.0
Nrrebro,55.68387,12.5585,Entire home/apt,910,1,36,0,Rental unit in Copenhagen · ★,4.53,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66304,12.54453,Entire home/apt,571,24,11,23,Rental unit in Copenhagen · ★,4.8,1.0,1.0,1.0
Indre By,55.68392,12.61503,Entire home/apt,1400,4,2,139,Home in Copenhagen ·,,3.0,3.0,1.0
Nrrebro,55.688,12.56061,Entire home/apt,1000,2,18,0,Rental unit in Copenhagen · ★,4.71,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66785,12.55736,Entire home/apt,1456,2,19,101,Rental unit in Copenhagen · ★,4.89,1.0,1.0,1.0
Frederiksberg,55.68102,12.52277,Entire home/apt,1356,3,26,153,Rental unit in Frederiksberg · ★,4.88,1.0,1.0,1.0
Amager Vest,55.61932,12.57158,Entire home/apt,900,3,2,0,Townhouse in Copenhagen ·,,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.64286,12.52549,Entire home/apt,968,6,5,0,Home in Copenhagen · ★,5.0,3.0,3.0,1.0
Nrrebro,55.69452,12.54421,Entire home/apt,1590,5,13,6,Rental unit in Copenhagen · ★,5.0,2.0,2.0,2.0
Frederiksberg,55.68266,12.51704,Entire home/apt,800,1,5,0,Rental unit in Frederiksberg · ★,4.0,1.0,1.0,1.0
sterbro,55.70819,12.57135,Entire home/apt,850,4,18,10,Condo in Copenhagen · ★,4.88,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67154,12.54854,Entire home/apt,995,2,4,0,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Vanlse,55.69027,12.50645,Entire home/apt,1950,5,4,19,Home in Copenhagen · ★,4.75,3.0,3.0,5.0
Indre By,55.68373,12.61531,Entire home/apt,1000,4,7,7,Townhouse in Copenhagen · ★,5.0,2.0,2.0,5.0
Vesterbro-Kongens Enghave,55.67077,12.54534,Entire home/apt,1300,7,4,24,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66823,12.54547,Entire home/apt,900,3,9,0,Rental unit in Copenhagen · ★,4.88,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66526,12.55379,Entire home/apt,2000,3,1,344,Rental unit in Copenhagen ·,,3.0,3.0,1.0
Nrrebro,55.69251,12.55578,Entire home/apt,1000,4,23,0,Rental unit in Copenhagen · ★,4.52,4.0,4.0,1.0
Indre By,55.67739,12.58993,Entire home/apt,891,5,32,20,Rental unit in Copenhagen · ★,4.69,1.0,1.0,1.0
Nrrebro,55.69053,12.55892,Entire home/apt,1557,4,14,4,Rental unit in Copenhagen · ★,4.79,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66295,12.54663,Entire home/apt,799,2,0,37,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Nrrebro,55.68907,12.56248,Entire home/apt,1250,2,9,0,Rental unit in Copenhagen · ★,4.89,1.0,1.0,1.0
sterbro,55.7022,12.57901,Entire home/apt,1628,2,53,7,Condo in Copenhagen · ★,4.96,3.0,3.0,1.0
Frederiksberg,55.68313,12.55081,Entire home/apt,2143,6,7,0,Loft in Frederiksberg · ★,4.71,2.0,2.0,1.0
Amager Vest,55.66361,12.58381,Entire home/apt,900,5,15,4,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.67179,12.55665,Entire home/apt,720,7,21,11,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.71161,12.56968,Entire home/apt,1200,5,5,0,Rental unit in Copenhagen · ★,4.6,2.0,2.0,5.0
Amager Vest,55.66503,12.5941,Entire home/apt,931,3,10,0,Rental unit in Copenhagen · ★,4.9,1.0,1.0,1.0
Indre By,55.68405,12.5653,Private room,816,2,50,5,Rental unit in Copenhagen · ★,4.84,1.0,1.0,
Vesterbro-Kongens Enghave,55.66773,12.53896,Entire home/apt,850,1,25,0,Rental unit in Copenhagen · ★,4.72,1.0,1.0,1.0
Nrrebro,55.6948,12.55553,Entire home/apt,555,2,19,0,Rental unit in Copenhagen · ★,4.89,1.0,1.0,1.0
Indre By,55.67714,12.57351,Entire home/apt,1970,1,5,0,Rental unit in Copenhagen · ★,3.8,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.64651,12.54888,Entire home/apt,750,4,28,0,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Nrrebro,55.69613,12.5465,Entire home/apt,893,3,7,2,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Bispebjerg,55.70535,12.53022,Entire home/apt,971,3,13,1,Rental unit in Copenhagen · ★,4.92,3.0,3.0,2.0
Vesterbro-Kongens Enghave,55.66773,12.54914,Entire home/apt,1200,5,2,14,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Bispebjerg,55.70623,12.53558,Entire home/apt,400,20,32,0,Condo in Copenhagen · ★,4.69,1.0,1.0,1.0
Nrrebro,55.70173,12.54037,Entire home/apt,500,6,17,0,Rental unit in Copenhagen · ★,4.82,1.0,1.0,1.0
Nrrebro,55.69191,12.54263,Entire home/apt,1500,3,30,0,Rental unit in Copenhagen · ★,4.86,2.0,2.0,1.0
sterbro,55.70284,12.59055,Entire home/apt,1271,5,79,8,Rental unit in Copenhagen · ★,4.87,2.0,2.0,1.0
Valby,55.6669,12.52048,Entire home/apt,1000,3,7,358,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Nrrebro,55.69337,12.56041,Entire home/apt,840,2,15,0,Condo in Copenhagen · ★,4.73,1.0,1.0,1.0
Frederiksberg,55.67687,12.5472,Entire home/apt,950,4,1,0,Rental unit in Frederiksberg ·,,2.0,2.0,1.0
Indre By,55.68835,12.56559,Entire home/apt,1200,5,0,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67075,12.54458,Entire home/apt,750,4,19,10,Rental unit in Copenhagen · ★,4.89,1.0,1.0,1.0
Amager st,55.64982,12.63276,Entire home/apt,950,5,13,94,Cabin in Copenhagen · ★,4.92,1.0,1.0,1.0
Amager st,55.64878,12.6187,Entire home/apt,499,6,13,26,Rental unit in Copenhagen · ★,4.69,1.0,1.0,1.0
sterbro,55.7028,12.58731,Entire home/apt,1795,4,5,152,Rental unit in Copenhagen · ★,4.8,3.0,3.0,5.0
Valby,55.65961,12.51856,Entire home/apt,432,4,7,2,Condo in Copenhagen · ★,4.71,2.0,2.0,1.0
Amager st,55.65041,12.63287,Entire home/apt,650,4,8,0,Cottage in Copenhagen · ★,4.83,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.67168,12.55178,Private room,450,3,7,24,Rental unit in Copenhagen · ★,4.86,1.0,1.0,
Amager st,55.66005,12.63175,Entire home/apt,1849,1,52,324,Serviced apartment in Copenhagen · ★,4.75,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66657,12.54805,Entire home/apt,399,5,45,0,Rental unit in Copenhagen · ★,4.84,1.0,1.0,1.0
Indre By,55.68611,12.57246,Entire home/apt,1979,4,4,152,Condo in Copenhagen · ★,5.0,3.0,3.0,1.0
Amager st,55.66588,12.6149,Entire home/apt,752,3,18,1,Condo in Copenhagen · ★,4.94,1.0,1.0,1.0
sterbro,55.69949,12.58619,Entire home/apt,2100,2,10,35,Rental unit in Copenhagen · ★,4.9,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66755,12.54734,Entire home/apt,1000,4,29,4,Rental unit in Copenhagen · ★,4.89,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67179,12.54512,Entire home/apt,1250,3,25,0,Loft in Frederiksberg · ★,4.63,2.0,2.0,1.0
Brnshj-Husum,55.71503,12.47061,Entire home/apt,1400,4,11,15,Home in Copenhagen · ★,4.64,4.0,4.0,5.0
Amager st,55.66598,12.61101,Entire home/apt,490,3,31,0,Rental unit in Copenhagen · ★,4.9,1.0,1.0,1.0
Frederiksberg,55.67929,12.53317,Entire home/apt,900,14,0,358,Rental unit in Frederiksberg ·,,2.0,2.0,1.0
Amager st,55.65478,12.61233,Entire home/apt,800,3,6,15,Condo in Copenhagen · ★,4.5,1.0,1.0,1.0
Indre By,55.68537,12.58993,Entire home/apt,1370,1,12,192,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.70781,12.56362,Entire home/apt,600,5,13,10,Condo in Copenhagen · ★,5.0,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67263,12.54796,Entire home/apt,1303,1,13,183,Rental unit in Copenhagen · ★,3.69,3.0,3.0,1.0
Bispebjerg,55.72285,12.5277,Entire home/apt,1100,3,5,1,Home in Copenhagen · ★,5.0,4.0,4.0,5.0
sterbro,55.71017,12.56642,Entire home/apt,1200,2,7,8,Rental unit in Copenhagen · ★,0.0,1.0,1.0,1.0
Frederiksberg,55.68066,12.53344,Entire home/apt,1357,3,54,19,Rental unit in Frederiksberg · ★,4.91,1.0,1.0,1.0
Frederiksberg,55.68271,12.55106,Private room,350,3,4,0,Rental unit in Frederiksberg · ★,4.25,1.0,1.0,
sterbro,55.70086,12.58585,Entire home/apt,913,3,24,78,Rental unit in Copenhagen · ★,4.83,1.0,1.0,1.0
Indre By,55.67835,12.57157,Entire home/apt,900,3,45,87,Rental unit in Copenhagen · ★,4.82,1.0,1.0,1.0
Indre By,55.67865,12.57572,Entire home/apt,2999,3,0,0,Townhouse in København K ·,1.5,2.0,2.0,5.0
Nrrebro,55.68644,12.55905,Entire home/apt,926,3,21,0,Condo in Copenhagen · ★,4.86,1.0,1.0,1.0
Nrrebro,55.69433,12.54199,Entire home/apt,2886,3,60,363,Rental unit in Copenhagen · ★,4.87,2.0,2.0,1.0
Indre By,55.67898,12.56924,Entire home/apt,1000,2,4,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Frederiksberg,55.67578,12.50714,Entire home/apt,5500,6,8,178,Rental unit in Frederiksberg · ★,4.71,3.0,3.0,2.0
Indre By,55.68824,12.57156,Entire home/apt,2011,1,1,183,Rental unit in Copenhagen ·,,3.0,3.0,1.0
sterbro,55.71308,12.57036,Entire home/apt,950,7,7,31,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.70711,12.57862,Entire home/apt,1445,1,0,187,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Frederiksberg,55.68191,12.54972,Entire home/apt,1050,5,9,2,Rental unit in Frederiksberg · ★,4.89,2.0,2.0,1.0
Amager Vest,55.66817,12.58295,Entire home/apt,1482,1,8,237,Rental unit in Copenhagen · ★,4.88,2.0,2.0,1.0
Valby,55.65549,12.48667,Private room,300,1,8,0,Rental unit in Copenhagen · ★,4.86,1.0,1.0,
Indre By,55.67772,12.58166,Entire home/apt,1549,1,2,243,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Nrrebro,55.69649,12.5401,Private room,679,3,17,36,Condo in Copenhagen · ★,4.88,1.0,1.0,5.0
Nrrebro,55.68764,12.56009,Entire home/apt,1571,1,3,185,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Indre By,55.68298,12.58222,Entire home/apt,1311,1,13,193,Rental unit in Copenhagen · ★,4.23,3.0,3.0,1.0
Nrrebro,55.68799,12.54268,Entire home/apt,850,3,6,0,Condo in Copenhagen · ★,5.0,2.0,2.0,1.0
Indre By,55.68344,12.58267,Entire home/apt,1125,1,19,249,Rental unit in Copenhagen · ★,4.37,1.0,1.0,1.0
Nrrebro,55.68806,12.54641,Entire home/apt,345,3,7,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Indre By,55.67702,12.56589,Entire home/apt,1393,1,1,179,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Amager st,55.66052,12.61466,Entire home/apt,1200,7,3,39,Rental unit in Copenhagen · ★,5.0,3.0,3.0,1.0
Indre By,55.6881,12.58968,Entire home/apt,886,1,18,268,Rental unit in Copenhagen · ★,4.67,1.0,1.0,1.0
Frederiksberg,55.67757,12.52505,Entire home/apt,1564,1,0,180,Rental unit in Frederiksberg ·,,3.0,3.0,1.0
sterbro,55.70099,12.59466,Entire home/apt,1543,3,20,6,Condo in Copenhagen · ★,4.8,4.0,4.0,2.0
Indre By,55.67772,12.57811,Entire home/apt,1005,1,17,248,Rental unit in Dannemare · ★,4.18,1.0,1.0,1.0
Indre By,55.67038,12.59326,Entire home/apt,804,1,21,190,Rental unit in Copenhagen · ★,4.86,1.0,1.0,1.0
Valby,55.66111,12.51169,Entire home/apt,890,3,4,4,Rental unit in Copenhagen · ★,4.25,3.0,3.0,1.0
Indre By,55.68674,12.58901,Entire home/apt,1810,1,1,6,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Indre By,55.68025,12.57792,Entire home/apt,1206,1,20,271,Rental unit in Copenhagen · ★,4.3,1.0,1.0,1.0
Vanlse,55.69028,12.51013,Entire home/apt,1100,4,12,37,Home in Copenhagen · ★,4.91,3.0,3.0,2.0
Indre By,55.68499,12.59477,Entire home/apt,2614,1,4,14,Rental unit in Copenhagen · ★,5.0,3.0,3.0,2.0
Indre By,55.68713,12.58357,Entire home/apt,983,1,0,181,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Indre By,55.68097,12.57853,Entire home/apt,3000,4,8,40,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
sterbro,55.70028,12.58387,Entire home/apt,2212,1,12,94,Rental unit in Copenhagen · ★,4.5,3.0,3.0,1.0
Nrrebro,55.68937,12.56243,Entire home/apt,1476,3,15,16,Rental unit in Copenhagen · ★,4.6,2.0,2.0,1.0
Amager Vest,55.66038,12.57346,Entire home/apt,1139,1,11,242,Rental unit in Copenhagen · ★,4.82,1.0,1.0,1.0
Indre By,55.67043,12.59328,Entire home/apt,1445,1,3,189,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Amager Vest,55.64638,12.59556,Entire home/apt,1500,2,6,6,Townhouse in Copenhagen · ★,4.67,4.0,4.0,1.0
sterbro,55.70262,12.58242,Entire home/apt,999,1,15,0,Rental unit in Copenhagen · ★,4.8,1.0,1.0,1.0
Indre By,55.67609,12.59733,Entire home/apt,886,1,7,183,Rental unit in Copenhagen · ★,4.43,1.0,1.0,1.0
Indre By,55.68371,12.56296,Entire home/apt,1043,1,1,190,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Amager Vest,55.66662,12.58139,Entire home/apt,1072,1,7,210,Rental unit in Copenhagen · ★,4.86,1.0,1.0,1.0
Frederiksberg,55.68653,12.53788,Entire home/apt,800,5,4,240,Rental unit in Frederiksberg · ★,5.0,1.0,1.0,1.0
Amager st,55.66441,12.62964,Entire home/apt,976,1,3,198,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Indre By,55.67736,12.58816,Entire home/apt,1110,1,5,190,Rental unit in Copenhagen · ★,4.8,1.0,1.0,1.0
Amager st,55.66249,12.6031,Entire home/apt,650,2,2,0,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.68673,12.58936,Entire home/apt,1035,1,1,25,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.669,12.54697,Entire home/apt,1206,1,5,188,Rental unit in Copenhagen · ★,4.2,1.0,1.0,1.0
Nrrebro,55.69675,12.55588,Entire home/apt,1000,3,29,7,Rental unit in Copenhagen · ★,4.72,1.0,1.0,1.0
Indre By,55.67245,12.59503,Entire home/apt,1125,1,16,237,Rental unit in Copenhagen · ★,4.63,1.0,1.0,1.0
sterbro,55.70031,12.57717,Entire home/apt,1043,1,0,180,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Indre By,55.68076,12.57214,Entire home/apt,1415,1,1,190,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Indre By,55.68194,12.58967,Private room,750,2,31,56,Rental unit in Copenhagen · ★,4.87,1.0,1.0,
Indre By,55.68555,12.58989,Entire home/apt,1162,1,0,193,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Amager Vest,55.66706,12.57729,Entire home/apt,1415,1,0,184,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Frederiksberg,55.68459,12.53406,Entire home/apt,650,2,2,0,Rental unit in Frederiksberg ·,,1.0,1.0,1.0
Indre By,55.67926,12.57966,Entire home/apt,2294,1,33,278,Rental unit in Copenhagen · ★,4.48,2.0,2.0,1.0
Nrrebro,55.70447,12.5433,Entire home/apt,340,4,55,0,Rental unit in Copenhagen · ★,4.89,,2.0,1.0
Frederiksberg,55.68154,12.54784,Entire home/apt,1772,1,0,179,Rental unit in Frederiksberg ·,,3.0,3.0,1.0
Nrrebro,55.70573,12.55176,Entire home/apt,830,6,21,9,Rental unit in Copenhagen · ★,4.86,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67274,12.55011,Entire home/apt,1408,1,0,192,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Amager Vest,55.64339,12.59351,Entire home/apt,1050,3,15,4,Home in Copenhagen · ★,5.0,3.0,3.0,1.0
Amager Vest,55.6695,12.57994,Entire home/apt,1311,1,2,179,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Nrrebro,55.70044,12.54391,Entire home/apt,1000,2,1,0,Condo in Copenhagen ·,,2.0,2.0,1.0
Nrrebro,55.69752,12.54597,Entire home/apt,1043,1,1,183,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Amager st,55.66786,12.60098,Entire home/apt,1288,1,2,179,Rental unit in Copenhagen ·,,1.0,1.0,1.0
Indre By,55.68672,12.5868,Entire home/apt,685,1,9,1,Rental unit in Copenhagen · ★,3.89,1.0,1.0,1.0
Indre By,55.68641,12.58744,Entire home/apt,685,1,12,261,Rental unit in Copenhagen · ★,4.42,1.0,1.0,1.0
Indre By,55.68722,12.58908,Entire home/apt,685,1,8,276,Rental unit in Copenhagen · ★,4.38,1.0,1.0,1.0
Indre By,55.68662,12.58937,Entire home/apt,923,1,4,179,Rental unit in Copenhagen · ★,3.5,1.0,1.0,1.0
Indre By,55.67111,12.59267,Entire home/apt,900,4,3,0,Rental unit in Copenhagen · ★,4.67,1.0,1.0,1.0
Amager Vest,55.66898,12.57863,Entire home/apt,1348,1,5,198,Rental unit in Copenhagen · ★,4.8,2.0,2.0,1.0
Indre By,55.68564,12.56837,Entire home/apt,1810,1,1,185,Rental unit in Copenhagen ·,,3.0,3.0,1.0
Amager st,55.66005,12.63175,Entire home/apt,1849,1,30,306,Serviced apartment in Copenhagen · ★,4.77,2.0,2.0,1.0
sterbro,55.70032,12.58868,Entire home/apt,1527,1,4,202,Rental unit in Copenhagen · ★,4.75,2.0,2.0,1.0
Frederiksberg,55.67788,12.5538,Entire home/apt,2011,1,1,185,Rental unit in Frederiksberg ·,,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.67129,12.54519,Entire home/apt,812,1,8,195,Rental unit in Copenhagen · ★,4.38,2.0,2.0,1.0
Indre By,55.68419,12.58904,Entire home/apt,1087,1,9,245,Rental unit in Copenhagen · ★,4.67,1.0,1.0,1.0
Frederiksberg,55.67579,12.53175,Entire home/apt,2000,3,74,187,Condo in Frederiksberg · ★,4.97,3.0,3.0,1.0
Indre By,55.66981,12.59081,Entire home/apt,804,1,3,179,Rental unit in Copenhagen · ★,4.67,1.0,1.0,1.0
sterbro,55.70927,12.5873,Entire home/apt,1005,1,5,228,Rental unit in Copenhagen · ★,4.8,1.0,1.0,1.0
Amager st,55.65188,12.62839,Entire home/apt,842,1,2,195,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Indre By,55.67132,12.59147,Entire home/apt,1601,1,10,179,Rental unit in Copenhagen · ★,4.6,2.0,2.0,1.0
Indre By,55.68128,12.55974,Entire home/apt,1170,3,27,9,Rental unit in Copenhagen · ★,4.69,1.0,1.0,1.0
Indre By,55.6703,12.57606,Entire home/apt,1810,1,1,186,Rental unit in Copenhagen ·,,2.0,2.0,1.0
Frederiksberg,55.67785,12.53181,Entire home/apt,1295,7,0,2,Rental unit in Frederiksberg · ★New ·,,2.0,2.0,1.0
Amager Vest,55.63341,12.58127,Entire home/apt,1350,1,58,96,Condo in Copenhagen · ★,4.88,1.0,1.0,1.0
Amager st,55.66005,12.63175,Hotel room,1551,1,19,334,Serviced apartment in Copenhagen · ★,4.74,1.0,1.0,
sterbro,55.70534,12.58771,Entire home/apt,1000,6,4,8,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
sterbro,55.71044,12.58374,Entire home/apt,871,3,12,7,Rental unit in Copenhagen · ★,4.82,1.0,1.0,1.0
sterbro,55.70139,12.58418,Entire home/apt,1250,5,1,24,Condo in Copenhagen ·,,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.67136,12.55679,Entire home/apt,2995,4,19,233,Rental unit in Copenhagen · ★,5.0,2.0,2.0,2.0
Nrrebro,55.68988,12.56288,Entire home/apt,750,6,16,0,Rental unit in Copenhagen · ★,4.93,1.0,1.0,5.0
Frederiksberg,55.67795,12.51412,Private room,282,20,1,39,Rental unit in Frederiksberg ·,,1.0,1.0,
Vesterbro-Kongens Enghave,55.64342,12.52948,Entire home/apt,995,5,14,18,Townhouse in Copenhagen · ★,5.0,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66698,12.54891,Private room,660,2,108,106,Rental unit in Copenhagen · ★,4.93,1.0,1.0,
Nrrebro,55.68935,12.56102,Entire home/apt,900,3,16,86,Rental unit in Copenhagen · ★,4.69,1.0,1.0,1.0
Frederiksberg,55.67948,12.54422,Entire home/apt,1800,7,5,0,Rental unit in Frederiksberg · ★,5.0,3.0,3.0,1.0
Nrrebro,55.6952,12.55621,Entire home/apt,885,2,19,2,Rental unit in Copenhagen · ★,4.44,2.0,2.0,1.0
Amager st,55.66619,12.61195,Entire home/apt,700,1,9,0,Rental unit in Copenhagen · ★,4.44,1.0,1.0,1.0
Nrrebro,55.68579,12.54933,Entire home/apt,700,6,11,0,Rental unit in Copenhagen · ★,4.73,1.0,1.0,1.0
sterbro,55.69460332618667,12.569324182007954,Entire home/apt,1390,5,0,9,Rental unit in Copenhagen · ★New ·,,2.0,2.0,1.0
