id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
681812538446044623,Rental unit in Copenhagen · ★4.67 · 1 bedroom · 1 bed · 1 bath,280019628,Gustav,,Nrrebro,55.697583858269766,12.539222538471222,Entire home/apt,1100,4,3,2022-09-11,0.28,1,0,3,
678954300895306562,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,116126628,Anna,,Nrrebro,55.6989775,12.5449771,Entire home/apt,971,2,6,2023-06-18,0.59,1,1,6,
681812683949345837,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,4471998,Dayanan,,Nrrebro,55.69999,12.54585,Entire home/apt,1000,5,7,2022-12-11,0.69,1,17,7,
678970558948204767,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,88660976,Daniel,,Vesterbro-Kongens Enghave,55.6499,12.52723,Entire home/apt,1250,1,3,2023-06-13,0.27,1,363,3,
681957360229308149,Rental unit in Copenhagen · ★4.71 · 1 bedroom · 1 bed · 1.5 shared baths,41327970,Arti,,Amager Vest,55.64984279999999,12.5971922,Private room,328,3,21,2023-06-27,2.07,2,284,21,
678998349428347788,Rental unit in Copenhagen · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,408927860,Sepideh,,Nrrebro,55.694661853415596,12.555325180292131,Entire home/apt,871,3,9,2023-06-23,3.65,1,12,9,
682252335716502506,Condo in Copenhagen · 1 bedroom · 1 bed · 1 bath,9444606,Tessa,,Nrrebro,55.6927659,12.5452661,Entire home/apt,986,1,2,2022-09-11,0.18,1,81,2,
679029850218240342,Villa in Copenhagen · 4 bedrooms · 4 beds · 2 baths,471524038,Andreas,,Amager Vest,55.6442707,12.6031483,Entire home/apt,1272,7,2,2023-04-09,0.33,1,20,2,
682259788367284077,Condo in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,38315066,Freja Lykke,,Nrrebro,55.69698,12.5567,Entire home/apt,993,3,7,2023-06-04,0.65,1,11,7,
679073442897968054,Condo in Copenhagen · 2 bedrooms · 2 beds · 1 bath,360132403,Alicia,,Indre By,55.68017,12.58421,Entire home/apt,2000,3,0,,,2,0,0,
682299806086500175,Condo in Copenhagen · 1 bedroom · 2 beds · 1 bath,127388523,Zeyu,,Bispebjerg,55.7029179,12.5329325,Entire home/apt,1200,5,2,2022-10-02,0.22,1,19,2,
679263104496240962,Condo in Copenhagen · ★5.0 · 1 bedroom · 2 beds · 1 bath,64944640,Lasse,,Vesterbro-Kongens Enghave,55.669350622144435,12.543910704553127,Entire home/apt,1400,2,7,2022-12-10,0.63,1,71,7,
679291129482272762,Condo in Copenhagen · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,89907082,Ebenezer,,Amager st,55.65295,12.61279,Private room,607,2,37,2023-06-15,4.29,1,240,37,
682378521504724908,Condo in Copenhagen · ★4.86 · 1 bedroom · 1 bed · 1 bath,119889021,Kat,,Vesterbro-Kongens Enghave,55.6656669,12.5512085,Entire home/apt,1062,1,14,2023-06-23,1.27,1,0,14,
679391103819597350,Rental unit in Copenhagen · ★5.0 · 1 bedroom · 1 bed · 1 bath,422533388,Chichi,,Nrrebro,55.69709,12.5463,Entire home/apt,600,4,3,2022-10-15,0.28,1,0,3,
679405545279620977,Condo in Frederiksberg · ★5.0 · 1 bedroom · 3 beds · 1 bath,25841668,Sofie,,Frederiksberg,55.69247,12.53092,Entire home/apt,1000,2,7,2023-06-26,1.04,1,196,7,
682446309674534551,Condo in Copenhagen · ★4.86 · 1 bedroom · 1 bed · 1 bath,411254282,Mathias,,Nrrebro,55.69882699999999,12.5447591,Entire home/apt,1455,1,7,2023-06-28,0.74,1,364,7,
